X,Y
9.708927486,1.508857478
9.714077866,1.500285805
10.81685315,11.9924918
10.81685315,11.9924918
11.99866555,8.560259372
11.99866555,8.560259372
0.006279626,83 0.16310034358794817
11.99476687,5.006763596
11.99476687,5.006763596
8.02554838084752 7,0.997784262
8.02554838084752 7,0.997784262
8.304744354,0.002657645
0.001905732,412 5.394584092017451
0.000860447,069 5.404529310971133
0.000860447,069 5.404529310971133
4.218141553,0.006655649
4.218141553,0.006655649
2.97466301,4.993975682
3.14455945,4.999908596
0.007207121,14 2.8031108450385642
0.001329268,802 2.8112010149823137
1.019839279,4.995402782
4.781183174,0.003930844
11.99968803,8.60660994
11.99968803,8.60660994
11.99968803,8.60660994
11.99968803,8.60660994
11.37826758,1.503741743
11.99931241,5.424864455
11.99931241,5.424864455
11.99931241,5.424864455
11.99931241,5.424864455
11.99931241,5.424864455
11.99931241,5.424864455
0.007250771,49 1.758523277716956
1.314627782,4.99439493
1.333853016,4.999907677
1.333853016,4.999907677
5.991901815,0.004761895
0.006994676,06 5.7843195374312675
3.082033413,0.001012804
3.082033413,0.001012804
3.082033413,0.001012804
3.082033413,0.001012804
0.004696832,28 3.1876881197054954
0.004696832,28 3.1876881197054954
2.678693288,0.000943236
2.678693288,0.000943236
11.9977294,8.39184104
11.9977294,8.39184104
11.9977294,8.39184104
9.76044636,1.506191862
11.99982571,5.71785188
11.99982571,5.71785188
11.99982571,5.71785188
11.99982571,5.71785188
11.99982571,5.71785188
9.000020952,10.00201707
9.000020952,10.00201707
11.99590956,9.845009203
11.04007845,11.99184103
11.04773889,11.9982689
11.04773889,11.9982689
11.04773889,11.9982689
11.99862998,9.959076384
9.00466706934563 9,0.377108948
11.99618095,7.579626066
11.99618095,1.509626066
11.99618095,1.509626066
8.097342722,7.998382533
8.097342722,7.998382533
4.0015825,5.130500351
4.0015825,5.130500351
8.996728282,0.472451552
8.996728282,0.472451552
8.999518541,0.43254899
8.834669284,0.003101993
3.481160189,4.995329989
3.510936573,4.998986069
11.99517942,3.655214015
4.007094726,5.945760442
5.668500558,7.99742578
11.94126564,1.501787383
0.00685316,42 2.5459131808661204
11.99402584,7.147357653
9.002789197,9.936730946
10.3895876,11.99274413
4.127643518,11.00094962
3.898193443,11.99480708
3.917680844,11.9993061
3.917680844,11.9993061
6.989593391,11.00118121
7.564593391,11.99711043
7.564593391,11.99711043
7.564593391,11.99711043
11.99560202,11.05527047
11.99560202,11.05527047
